state,key_year,year,month,sa_no
Jharkhand,2005,2005,2,1
Jharkhand,2009,2009,2,2
Jharkhand,2014,2014,2,3
Nagaland,1964,1964,2,1
Nagaland,1969,1969,2,2
Nagaland,1974,1974,2,3
Nagaland,1977,1977,2,4
Nagaland,1982,1982,2,5
Nagaland,1987,1987,2,6
Nagaland,1989,1989,2,7
Nagaland,1993,1993,2,8
Nagaland,1998,1998,2,9
Nagaland,2003,2003,2,10
Nagaland,2008,2008,2,11
Nagaland,2013,2013,2,12
"Goa_Daman_&_Diu",1967,1967,2,1
"Goa_Daman_&_Diu",1972,1972,2,2
"Goa_Daman_&_Diu",1977,1977,2,3
"Goa_Daman_&_Diu",1980,1980,2,4
"Goa_Daman_&_Diu",1984,1984,2,5
Goa,1989,1989,2,1
Goa,1994,1994,2,2
Goa,1999,1999,2,3
Goa,2002,2002,2,4
Goa,2007,2007,2,5
Goa,2012,2012,2,6
Assam,1962,1962,2,3
Assam,1967,1967,2,4
Assam,1972,1972,2,5
Assam,1978,1978,2,6
Assam,1983,1983,2,7
Assam,1985,1985,2,8
Assam,1991,1991,2,9
Assam,1996,1996,2,10
Assam,2001,2001,2,11
Assam,2006,2006,2,12
Assam,2011,2011,2,13
Assam,2016,2016,2,14
Meghalaya,1972,1972,2,1
Meghalaya,1978,1978,2,2
Meghalaya,1983,1983,2,3
Meghalaya,1988,1988,2,4
Meghalaya,1993,1993,2,5
Meghalaya,1998,1998,2,6
Meghalaya,2003,2003,2,7
Meghalaya,2008,2008,2,8
Meghalaya,2013,2013,2,9
Haryana,1967,1967,2,1
Haryana,1968,1968,2,2
Haryana,1972,1972,2,3
Haryana,1977,1977,2,4
Haryana,1982,1982,2,5
Haryana,1987,1987,2,6
Haryana,1991,1991,2,7
Haryana,1996,1996,2,8
Haryana,2000,2000,2,9
Haryana,2005,2005,2,10
Haryana,2009,2009,2,11
Haryana,2014,2014,2,12
Punjab,1962,1962,2,3
Punjab,1967,1967,2,4
Punjab,1969,1969,2,5
Punjab,1972,1972,2,6
Punjab,1977,1977,2,7
Punjab,1980,1980,2,8
Punjab,1985,1985,2,9
Punjab,1992,1992,2,10
Punjab,1997,1997,2,11
Punjab,2002,2002,2,12
Punjab,2007,2007,2,13
Punjab,2012,2012,2,14
Sikkim,1979,1979,2,1
Sikkim,1985,1985,2,2
Sikkim,1989,1989,2,3
Sikkim,1994,1994,2,4
Sikkim,1999,1999,2,5
Sikkim,2004,2004,2,6
Sikkim,2009,2009,2,7
Sikkim,2014,2014,2,8
Manipur,1967,1967,2,1
Manipur,1972,1972,2,2
Manipur,1974,1974,2,3
Manipur,1980,1980,2,4
Manipur,1984,1984,2,5
Manipur,1990,1990,2,6
Manipur,1995,1995,2,7
Manipur,2000,2000,2,8
Manipur,2002,2002,2,9
Manipur,2007,2007,2,10
Manipur,2012,2012,2,11
Puducherry,1964,1964,2,1
Puducherry,1969,1969,2,2
Puducherry,1974,1974,2,3
Puducherry,1977,1977,2,4
Puducherry,1980,1980,2,5
Puducherry,1985,1985,2,6
Puducherry,1990,1990,2,7
Puducherry,1991,1991,2,8
Puducherry,1996,1996,2,9
Puducherry,2001,2001,2,10
Puducherry,2006,2006,2,11
Puducherry,2011,2011,2,12
Puducherry,2016,2016,2,13
Karnataka,1978,1978,2,1
Karnataka,1983,1983,2,2
Karnataka,1985,1985,2,3
Karnataka,1989,1989,2,4
Karnataka,1994,1994,2,5
Karnataka,1999,1999,2,6
Karnataka,2004,2004,2,7
Karnataka,2008,2008,2,8
Karnataka,2013,2013,2,9
Maharashtra,1962,1962,2,1
Maharashtra,1967,1967,2,2
Maharashtra,1972,1972,2,3
Maharashtra,1978,1978,2,4
Maharashtra,1980,1980,2,5
Maharashtra,1985,1985,2,6
Maharashtra,1990,1990,2,7
Maharashtra,1995,1995,2,8
Maharashtra,1999,1999,2,9
Maharashtra,2004,2004,2,10
Maharashtra,2009,2009,2,11
Maharashtra,2014,2014,2,12
Chhattisgarh,2003,2003,2,1
Chhattisgarh,2008,2008,2,2
Chhattisgarh,2013,2013,2,3
Odisha,1961,1961,2,3
Odisha,1967,1967,2,4
Odisha,1971,1971,2,5
Odisha,1974,1974,2,6
Odisha,1977,1977,2,7
Odisha,1980,1980,2,8
Odisha,1985,1985,2,9
Odisha,1990,1990,2,10
Odisha,1995,1995,2,11
Odisha,2000,2000,2,12
Odisha,2004,2004,2,13
Odisha,2009,2009,2,14
Odisha,2014,2014,2,15
Madras,1967,1967,2,1
Andhra_Pradesh,1962,1962,2,3
Andhra_Pradesh,1967,1967,2,4
Andhra_Pradesh,1972,1972,2,5
Andhra_Pradesh,1978,1978,2,6
Andhra_Pradesh,1983,1983,2,7
Andhra_Pradesh,1985,1985,2,8
Andhra_Pradesh,1989,1989,2,9
Andhra_Pradesh,1994,1994,2,10
Andhra_Pradesh,1999,1999,2,11
Andhra_Pradesh,2004,2004,2,12
Andhra_Pradesh,2009,2009,2,13
Andhra_Pradesh,2014,2014,2,14
Gujarat,1962,1962,2,1
Gujarat,1967,1967,2,2
Gujarat,1972,1972,2,3
Gujarat,1975,1975,2,4
Gujarat,1980,1980,2,5
Gujarat,1985,1985,2,6
Gujarat,1990,1990,2,7
Gujarat,1995,1995,2,8
Gujarat,1998,1998,2,9
Gujarat,2002,2002,2,10
Gujarat,2007,2007,2,11
Gujarat,2012,2012,2,12
Himachal_Pradesh,1967,1967,2,2
Himachal_Pradesh,1972,1972,2,3
Himachal_Pradesh,1977,1977,2,4
Himachal_Pradesh,1982,1982,2,5
Himachal_Pradesh,1985,1985,2,6
Himachal_Pradesh,1990,1990,2,7
Himachal_Pradesh,1993,1993,2,8
Himachal_Pradesh,1998,1998,2,9
Himachal_Pradesh,2003,2003,2,10
Himachal_Pradesh,2007,2007,2,11
Himachal_Pradesh,2012,2012,2,12
West_Bengal,1962,1962,2,3
West_Bengal,1967,1967,2,4
West_Bengal,1969,1969,2,5
West_Bengal,1971,1971,2,6
West_Bengal,1972,1972,2,7
West_Bengal,1977,1977,2,8
West_Bengal,1982,1982,2,9
West_Bengal,1987,1987,2,10
West_Bengal,1991,1991,2,11
West_Bengal,1996,1996,2,12
West_Bengal,2001,2001,2,13
West_Bengal,2006,2006,2,14
West_Bengal,2011,2011,2,15
West_Bengal,2016,2016,2,16
Madhya_Pradesh,1962,1962,2,3
Madhya_Pradesh,1967,1967,2,4
Madhya_Pradesh,1972,1972,2,5
Madhya_Pradesh,1977,1977,2,6
Madhya_Pradesh,1980,1980,2,7
Madhya_Pradesh,1985,1985,2,8
Madhya_Pradesh,1990,1990,2,9
Madhya_Pradesh,1993,1993,2,10
Madhya_Pradesh,1998,1998,2,11
Madhya_Pradesh,2003,2003,2,12
Madhya_Pradesh,2008,2008,2,13
Madhya_Pradesh,2013,2013,2,14
Uttar_Pradesh,1962,1962,2,3
Uttar_Pradesh,1967,1967,2,4
Uttar_Pradesh,1969,1969,2,5
Uttar_Pradesh,1974,1974,2,6
Uttar_Pradesh,1977,1977,2,7
Uttar_Pradesh,1980,1980,2,8
Uttar_Pradesh,1985,1985,2,9
Uttar_Pradesh,1989,1989,2,10
Uttar_Pradesh,1991,1991,2,11
Uttar_Pradesh,1993,1993,2,12
Uttar_Pradesh,1996,1996,2,13
Uttar_Pradesh,2002,2002,2,14
Uttar_Pradesh,2007,2007,2,15
Uttar_Pradesh,2012,2012,2,16
Mysore,1962,1962,2,2
Mysore,1967,1967,2,3
Mysore,1972,1972,2,4
Bihar,1962,1962,2,3
Bihar,1967,1967,2,4
Bihar,1969,1969,2,5
Bihar,1972,1972,2,6
Bihar,1977,1977,2,7
Bihar,1980,1980,2,8
Bihar,1985,1985,2,9
Bihar,1990,1990,2,10
Bihar,1995,1995,2,11
Bihar,2000,2000,2,12
Bihar,2005,2005,2,13
Bihar,2005.5,2005,10,14
Bihar,2010,2010,2,15
Bihar,2015,2015,2,16
Tripura,1967,1967,2,1
Tripura,1972,1972,2,2
Tripura,1977,1977,2,3
Tripura,1983,1983,2,4
Tripura,1988,1988,2,5
Tripura,1993,1993,2,6
Tripura,1998,1998,2,7
Tripura,2003,2003,2,8
Tripura,2008,2008,2,9
Tripura,2013,2013,2,10
Delhi,1972,1972,2,2
Delhi,1977,1977,2,3
Delhi,1983,1983,2,4
Delhi,1993,1993,2,5
Delhi,1998,1998,2,6
Delhi,2003,2003,2,7
Delhi,2008,2008,2,8
Delhi,2013,2013,2,9
Delhi,2015,2015,2,10
Rajasthan,1962,1962,2,3
Rajasthan,1967,1967,2,4
Rajasthan,1972,1972,2,5
Rajasthan,1977,1977,2,6
Rajasthan,1980,1980,2,7
Rajasthan,1985,1985,2,8
Rajasthan,1990,1990,2,9
Rajasthan,1993,1993,2,10
Rajasthan,1998,1998,2,11
Rajasthan,2003,2003,2,12
Rajasthan,2008,2008,2,13
Rajasthan,2013,2013,2,14
Kerala,1965,1965,2,3
Kerala,1967,1967,2,4
Kerala,1970,1970,2,5
Kerala,1977,1977,2,6
Kerala,1980,1980,2,7
Kerala,1982,1982,2,8
Kerala,1987,1987,2,9
Kerala,1991,1991,2,10
Kerala,1996,1996,2,11
Kerala,2001,2001,2,12
Kerala,2006,2006,2,13
Kerala,2011,2011,2,14
Kerala,2016,2016,2,15
Uttarakhand,2002,2002,2,1
Uttarakhand,2007,2007,2,2
Uttarakhand,2012,2012,2,3
Jammu_&_Kashmir,1962,1962,2,1
Jammu_&_Kashmir,1967,1967,2,2
Jammu_&_Kashmir,1972,1972,2,3
Jammu_&_Kashmir,1977,1977,2,4
Jammu_&_Kashmir,1983,1983,2,5
Jammu_&_Kashmir,1987,1987,2,6
Jammu_&_Kashmir,1996,1996,2,7
Jammu_&_Kashmir,2002,2002,2,8
Jammu_&_Kashmir,2008,2008,2,9
Jammu_&_Kashmir,2014,2014,2,10
Arunachal_Pradesh,1978,1978,2,1
Arunachal_Pradesh,1980,1980,2,2
Arunachal_Pradesh,1984,1984,2,3
Arunachal_Pradesh,1990,1990,2,4
Arunachal_Pradesh,1995,1995,2,5
Arunachal_Pradesh,1999,1999,2,6
Arunachal_Pradesh,2004,2004,2,7
Arunachal_Pradesh,2009,2009,2,8
Arunachal_Pradesh,2014,2014,2,9
Tamil_Nadu,1971,1971,2,1
Tamil_Nadu,1977,1977,2,2
Tamil_Nadu,1980,1980,2,3
Tamil_Nadu,1984,1984,2,4
Tamil_Nadu,1989,1989,2,5
Tamil_Nadu,1991,1991,2,6
Tamil_Nadu,1996,1996,2,7
Tamil_Nadu,2001,2001,2,8
Tamil_Nadu,2006,2006,2,9
Tamil_Nadu,2011,2011,2,10
Tamil_Nadu,2016,2016,2,11
Mizoram,1972,1972,2,1
Mizoram,1978,1978,2,2
Mizoram,1979,1979,2,3
Mizoram,1984,1984,2,4
Mizoram,1987,1987,2,5
Mizoram,1989,1989,2,6
Mizoram,1993,1993,2,7
Mizoram,1998,1998,2,8
Mizoram,2003,2003,2,9
Mizoram,2008,2008,2,10
Mizoram,2013,2013,2,11
