Countries,Value,Parent
Afghanistan,652860,World
Albania,28750,World
Algeria,2381740,World
American Samoa,200,World
Andorra,470,World
Angola,1246700,World
Antigua and Barbuda,440,World
Arab World,13152838.5,World
Argentina,2780400,World
Armenia,29740,World
Aruba,180,World
Australia,7741220,World
Austria,83879,World
Azerbaijan,86600,World
Bahamas,13880,World
Bahrain,770,World
Bangladesh,148460,World
Barbados,430,World
Belarus,207600,World
Belgium,30530,World
Belize,22970,World
Benin,114760,World
Bermuda,50,World
Bhutan,38394,World
Bolivia,1098580,World
Bosnia and Herzegovina,51210,World
Botswana,581730,World
Brazil,8515770,World
Brunei Darussalam,5770,World
Bulgaria,111000,World
Burkina Faso,274220,World
Burundi,27830,World
Cambodia,181040,World
Cameroon,475440,World
Canada,9984670,World
Cape Verde,4030,World
Cayman Islands,264,World
Central African Republic,622980,World
Chad,1284000,World
Channel Islands,190,World
Chile,756096,World
China,9562911,World
Colombia,1141749,World
Comoros,1861,World
Congo,2344860,World
Congo,342000,World
Costa Rica,51100,World
Cote d'Ivoire,322460,World
Croatia,56590,World
Cuba,109880,World
Cyprus,9250,World
Czech Republic,78870,World
Denmark,43090,World
Djibouti,23200,World
Dominica,750,World
Dominican Republic,48670,World
Ecuador,256370,World
"Egypt, Arab Rep.",1001450,World
El Salvador,21040,World
Equatorial Guinea,28050,World
Eritrea,117600,World
Estonia,45230,World
Ethiopia,1104300,World
Faeroe Islands,1396,World
Fiji,18270,World
Finland,338420,World
France,549087,World
French Polynesia,4000,World
Gabon,267670,World
"Gambia, The",11300,World
Georgia,69700,World
Germany,357170,World
Ghana,238540,World
Greece,131960,World
Greenland,410450,World
Grenada,340,World
Guam,540,World
Guatemala,108890,World
Guinea,245860,World
Guinea-Bissau,36130,World
Guyana,214970,World
Haiti,27750,World
Honduras,112490,World
"Hong Kong SAR, China",1100,World
Hungary,93030,World
Iceland,103000,World
India,3287260,World
Indonesia,1910930,World
"Iran, Islamic Rep.",1745150,World
Iraq,435240,World
Ireland,70280,World
Isle of Man,570,World
Israel,22070,World
Italy,301340,World
Jamaica,10990,World
Japan,377962,World
Jordan,89320,World
Kazakhstan,2724902,World
Kenya,580370,World
Kiribati,810,World
"Korea, Dem. Rep.",120540,World
"Korea, Rep.",100266,World
Kosovo,10887,World
Kuwait,17820,World
Kyrgyz Republic,199949,World
Lao PDR,236800,World
Latvia,64490,World
Lebanon,10450,World
Lesotho,30360,World
Liberia,111370,World
Libya,1759540,World
Liechtenstein,160,World
Lithuania,65300,World
Luxembourg,2590,World
"Macao SAR, China",30.3,World
"Macedonia, FYR",25710,World
Madagascar,587295,World
Malawi,118480,World
Malaysia,330800,World
Maldives,300,World
Mali,1240190,World
Malta,320,World
Marshall Islands,180,World
Mauritania,1030700,World
Mauritius,2040,World
Mexico,1964380,World
"Micronesia, Fed. Sts.",700,World
Middle income,82947243.5,World
Moldova,33850,World
Monaco,2,World
Mongolia,1564120,World
Montenegro,13810,World
Morocco,446550,World
Mozambique,799380,World
Myanmar,676590,World
Namibia,824290,World
Nepal,147180,World
Netherlands,41500,World
New Caledonia,18580,World
New Zealand,267710,World
Nicaragua,130370,World
Niger,1267000,World
Nigeria,923770,World
North America,19816230,World
Northern Mariana Islands,460,World
Norway,385178,World
Oman,309500,World
Pakistan,796100,World
Palau,460,World
Panama,75420,World
Papua New Guinea,462840,World
Paraguay,406752,World
Peru,1285220,World
Philippines,300000,World
Poland,312680,World
Portugal,92220,World
Puerto Rico,8870,World
Qatar,11610,World
Romania,238390,World
Russian Federation,17098250,World
Rwanda,26340,World
Samoa,2840,World
San Marino,60,World
Sao Tome and Principe,960,World
Saudi Arabia,2149690,World
Senegal,196710,World
Serbia,88360,World
Seychelles,455,World
Sierra Leone,72300,World
Singapore,717,World
Slovak Republic,49036,World
Slovenia,20270,World
Solomon Islands,28900,World
Somalia,637660,World
South Africa,1219090,World
South Asia,5136164,World
Spain,505940,World
Sri Lanka,65610,World
St. Kitts and Nevis,260,World
St. Lucia,620,World
St. Vincent and the Grenadines,390,World
Sudan,1879357.5,World
Suriname,163820,World
Swaziland,17360,World
Sweden,447420,World
Switzerland,41285,World
Syrian Arab Republic,185180,World
Tajikistan,142550,World
Tanzania,947300,World
Thailand,513120,World
Timor-Leste,14870,World
Togo,56790,World
Tonga,750,World
Trinidad and Tobago,5130,World
Tunisia,163610,World
Turkey,783560,World
Turkmenistan,488100,World
Turks and Caicos Islands,950,World
Tuvalu,30,World
Uganda,241550,World
Ukraine,603550,World
United Arab Emirates,83600,World
United Kingdom,243610,World
United States,9831510,World
Upper middle income,60995834,World
Uruguay,176220,World
Uzbekistan,447400,World
Vanuatu,12190,World
Venezuela,912050,World
Vietnam,330972,World
Virgin Islands (U.S.),350,World
West Bank and Gaza,6020,World