CATASTROPHES,START_YEAR,END_YEAR
World War II,1939,1945
Second Sino Japanese War,1937,1945
World War II,1914,1918
Holocaust,1941,1945
Chinese Civil War,1927,1949
Russian Civil War,1917,1921
Holodomor,1932,1933
Second Congo War,1998,2003
Afghanistan War,1979,2000
Nigerian Civil War,1966,1970
Cambondian Genocide,1975,1979
Armenian Genocide,1915,1923
Vietnam War,1955,1975
Second Sudanese Civil War,1983,2005
Korean War,1950,1953
Soviet Afghan War,1980,1988
Mexican Revolution,1911,1920
Iraq - Iran War,1980,1988
Serbian Genocide,1941,1945
Bangladesh Genocide,1971,1971
Greek Genocide,1915,1923
Rwanda Genocide,1994,1994
Spanish Civil War,1936,1939
War on Terror,2001,2013
Assyrian Genocide,1915,1923
Bosnian War,1992,1995
Afghanistan War -II,1978,2016
Iraq War,2003,2016
Boko Haram Insurgency,2009,2016
Syrian Civil War,2011,2016